Sample,B.cells,CD4.Naive,CD4.Memory,CD8.Naive,CD8.Memory,CD8.Effector,Treg.cell,Th.cell,Monocytes.CD16,Monocytes.CD14,DC,pDC,NK,Plasma,Step1,Step2,Step3,Step4.T.cell.recruiting,Step4.CD4.T.cell.recruiting,Step4.CD8.T.cell.recruiting,Step4.Th1.cell.recruiting,Step4.Dendritic.cell.recruiting,Step4.Th22.cell.recruiting,Step4.Macrophage.recruiting,Step4.Monocyte.recruiting,Step4.Neutrophil.recruiting,Step4.NK.cell.recruiting,Step4.Eosinophil.recruiting,Step4.Basophil.recruiting,Step4.Th17.cell.recruiting,Step4.B.cell.recruiting,Step4.Th2.cell.recruiting,Step4.Treg.cell.recruiting,Step4.MDSC.recruiting,Step5,Step6,Step7
TCGA.FU.A3TX.01A.11R.A22U.07,0.164424291,0.149767903,0.105824544,0,0,0.034078945,0,0.332693109,0.053529102,0,0,0.159682106,0,0,4.731,0.617,-0.587,0.615,1.827,1.001,-0.358,-0.417,0.259,2.26,-0.261,-0.16,0.714,-1.24,-0.411,0.859,-1.26,-0.794,-2.131,-0.518,-2.092,2.298,1.538
TCGA.FU.A3WB.01A.11R.A22U.07,0,0.128230612,0.385246062,0,0,0.022620862,0,0.240645486,0.049860409,0,0.064188249,0.103275465,0.004041642,0.001891213,5.382,-0.688,-3.125,0.025,0.235,-0.131,-1.118,0.077,0.904,-0.17,0.505,-0.963,-0.211,-0.108,-0.925,-0.848,-0.571,-0.622,-1.565,-1.482,-1.779,1.053,-0.934
TCGA.FU.A3YQ.01A.11R.A22U.07,0.010510062,0.227724607,0.383110296,0,0,0.008256015,0,0.087130528,0.012443891,0,0.139472421,0.120418713,0.003306142,0.007627324,5.867,0.245,1.789,2.732,1.872,3.025,2.455,1.577,0.703,2.003,0.516,1.693,3.192,0.681,0.99,2.152,-0.786,-0.743,-1.751,0.181,-0.422,1.676,-1.041
TCGA.FU.A5XV.01A.11R.A28H.07,0,0,0.361573082,0,0,0,0,0.27107965,0.182212922,0.001137845,0,0.170966591,0.010499661,0.002530249,4.994,-1.12,-2.243,-0.501,-0.121,0.029,-0.943,-0.71,-1.417,-0.109,-1.263,-0.06,-0.133,-0.154,0.554,-1.172,-0.878,0.555,-0.301,-0.224,-0.688,-0.254,-0.406
TCGA.GH.A9DA.01A.21R.A37O.07,0.011020014,0,0.446674198,0.042779656,0,0,0,0.116924263,0.227249107,0,0.011570457,0.122194068,0.021588238,0,5.193,1.055,-2.044,0.153,-0.069,0.382,-0.901,0.946,0.245,2.251,-0.799,1.533,-0.11,-0.383,0.108,0.154,-1.175,0.579,-0.321,0.468,-0.556,0.092,-0.368
TCGA.HG.A2PA.01A.11R.A213.07,0,0.305195641,0.294183601,0,0,0.010794255,0,0.106978075,0.036313715,0,0.035903655,0.199885841,0.005997192,0.004748026,5.402,0.282,-0.699,1.229,1.017,1.266,-0.309,0.889,-0.037,1.595,0.467,3.303,1.136,-0.676,-0.28,0.439,-1.398,0.116,-0.971,-0.607,-1.705,-0.832,-1.043
TCGA.HM.A3JJ.01A.21R.A21T.07,0.001920384,0.009817758,0.396967081,0,0,0.004336463,0,0.225184194,0,0,0.21419151,0.138330092,0.004397058,0.004855459,5.444,-0.127,-2.775,1.842,2.417,2.085,1.884,0.529,0.11,1.412,0.542,-0.585,2.804,1.078,1.323,-0.586,1.261,0.877,-0.61,-0.701,0.015,0.37,1.31
TCGA.HM.A4S6.01A.11R.A26T.07,0.02767103,0.054086827,0.358954142,0,0,0.016643204,0,0.208444344,0,0,0.111787993,0.215329555,0.007082905,0,5.645,0.253,1.741,2.096,1.593,2.467,2.127,0.582,0.969,1.883,-0.068,-1.067,3.322,-1.054,-1.601,-0.853,-0.179,-0.878,-1.216,0.152,0.167,0.539,0.414
TCGA.IR.A3L7.01A.21R.A213.07,0.036680507,0,0.178869335,0,0.072607351,0,0,0.338249143,0.170430757,0,0,0.203162906,0,0,4.259,0.116,-3.245,-0.164,0.623,0.241,-1.735,0.464,-0.213,0.694,-1.012,0.038,-0.289,-0.421,0.497,0.405,-0.657,-0.848,-1.669,-1.733,-1.332,0.292,-2.837
TCGA.IR.A3LC.01A.11R.A213.07,0.017509823,0.290870713,0.235510573,0,0,0,0,0.20637435,0.089123284,0,0,0.145498907,0.01511235,0,5.293,-0.888,-2.486,-0.937,0.398,-1.319,0.572,-0.149,0.367,0.942,-1.366,-0.835,-0.569,-0.267,0.599,-1.412,0.122,-0.851,-1.797,-0.62,-0.15,1.192,-1.268
TCGA.IR.A3LK.01A.12R.A213.07,0.104707278,0,0.174045027,0,0.111244589,0,0,0.359849346,0.041089752,0,0,0.209064007,0,0,5.996,-0.623,-1.977,2.065,0.368,2.016,2.276,1.684,0.468,3.255,0.545,0.442,3.72,-0.616,-0.175,-1.324,-0.274,-1.909,-1.632,-1.011,0.133,2.138,-0.796
TCGA.IR.A3LL.01A.11R.A213.07,0.086525615,0.020338878,0.240850789,0,0,0,0,0.360990803,0.118664565,0,0.049210487,0.094275883,0.02914298,0,5.902,0.361,-0.832,3.166,1.696,3.317,3.072,1.701,0.932,3.184,0.618,-1.911,4.644,-1.367,-1.01,-0.51,0.874,-0.042,-1.504,-1.545,0.473,2.262,1.019
TCGA.JW.A5VG.01A.11R.A28H.07,0.019007429,0,0.516574962,0,0,0,0,0.086939973,0,0,0.163805576,0.171306945,0.042365115,0,5.208,0.149,-2.531,1.886,0.281,2,2.08,2.121,0.596,3.453,0.811,0.812,3.494,-1.009,-0.874,0.135,-0.826,-1.444,-1.418,0.168,-1.354,0.499,0.787
TCGA.JW.A5VI.01A.11R.A28H.07,0,0,0.390255442,0,0,0,0,0.197747428,0.165859572,0,0,0.232719053,0.005954572,0.007463932,5.068,-0.828,-2.242,1.176,1.871,1.061,0.905,0.293,0.304,0.802,-0.426,0.692,1.6,-0.462,-1.09,-1.227,1.233,-0.498,-0.925,-0.388,-0.481,0.763,0.271
TCGA.JW.A5VJ.01A.11R.A28H.07,0.092106977,0.004466302,0.298637002,0,0,0.01237274,0,0.279993449,0.240245927,0,0,0.069909055,0.002268549,0,4.845,-0.555,-2.265,-0.433,0.355,0.252,-0.029,-1.227,1.152,-0.623,0.385,-1.153,-0.05,-1.296,-0.981,1.064,-1.292,-0.638,0.47,-0.416,0.674,1.184,-1.153
TCGA.JW.A5VK.01A.11R.A28H.07,0.000107056,0.153163149,0.31606228,0,0,0.024682294,0,0.276038272,0.170085821,0,0,0.057228902,0.002524768,0.000107459,4.62,-0.338,-1.309,0.113,-1.138,0.082,-1.793,0.807,-0.469,-0.042,-1.185,-0.124,0.208,-0.653,-0.535,-0.961,0.81,0.023,-1.342,0.175,-2.058,0.102,1.521
TCGA.JW.A5VL.01A.11R.A28H.07,0.007086598,0.114746546,0.288594702,0,0,0,0,0.166053164,0,0,0.312035412,0.093235184,0.018248393,0,5.381,-0.453,-0.424,1.568,0.793,2.319,2.166,0.356,0.203,2.128,0.021,-1.082,3.406,-0.56,0.356,0.223,0.09,-0.52,-1.612,0.284,-0.573,1.313,0.411
TCGA.JW.AAVH.01A.11R.A38B.07,0,0,0.275682542,0,0,0,0,0.179238858,0.185741712,0.026050946,0,0.332398453,0,0.000887489,4.846,-0.127,-0.412,1.047,0.899,0.833,-1.095,-1.235,-0.676,-1.028,-0.776,-0.345,-1.549,-1.5,-0.488,-0.702,-0.22,1.11,0.514,-0.859,-0.548,0.322,1.615
TCGA.JX.A3PZ.01A.11R.A32Y.07,0.106807551,0.052764203,0.269190771,0,0,0.00597064,0,0.251907704,0.012559691,0,0.205504237,0.090028181,0.005267023,0,5.533,1.437,0.444,0.099,-0.796,1.256,0.547,0.899,0.425,3.286,-0.081,2.065,1.578,0.686,-0.012,0.131,-1.274,-0.473,-1.858,0.209,-0.153,1.34,-0.882
TCGA.JX.A3Q0.01A.11R.A32Y.07,0.107996629,0.205950168,0.150126324,0,0,0.022121588,0,0.192236193,0.035107825,0,0.042486255,0.241492489,0.00248253,0,5.552,0.136,1.798,1.256,1.153,2.635,2.178,0.343,0.598,2.471,0.737,0.074,3.632,-2.175,-1.621,-1.192,-0.667,0.197,-0.712,-0.508,0.741,1.091,-0.287
TCGA.JX.A5QV.01A.22R.A28H.07,0.04340902,0.106692886,0.326317385,0,0,0.002737805,0,0.229748481,0.060496491,0,0.102410973,0.123901636,0.004285322,0,4.825,0.071,-3.773,1.547,0.911,-0.095,0.012,0.373,-0.631,1.112,-0.925,-0.491,1.309,-1.644,-0.839,0.772,0.182,0.553,-1.076,-0.467,-0.005,0.352,-0.111
TCGA.LP.A4AU.01A.32R.A32Y.07,0,0,0.426541992,0,0,0,0.092035172,0.112818364,0.218080222,0,0,0.117971135,0.026933005,0.005620109,5.205,-0.373,-2.781,0.108,-1.502,0.702,0.969,0.681,1.16,1.12,-1.335,3.057,1.461,-0.188,-0.484,-0.653,1.084,-0.172,-2.026,0.843,-1.071,-0.71,0.151
TCGA.LP.A5U3.01A.11R.A28H.07,0.043632454,0.26572964,0.274027661,0,0,0.007740128,0,0.151552971,0.089698554,0,0.049401205,0.111173115,0.007044272,0,5.584,0.425,-1.233,1.615,0.802,2.36,2.298,0.24,0.493,2.091,0.745,1.135,3.543,-0.547,0.301,0.337,0.323,0.416,-0.495,-0.656,0.436,0.234,-0.875
TCGA.MA.AA3W.01A.11R.A38B.07,0.071428649,0.082386025,0.263882363,0,0.035625312,0,0,0.193840759,0.098616981,0,0,0.252284564,0.001569427,0.000365921,5.787,0.335,-0.931,4.27,3.017,3.513,2.63,2.632,-0.783,3.399,1.198,0.655,4.339,-0.68,-0.317,0.777,0.416,0.414,-0.185,-0.749,0.094,2.021,-0.099
TCGA.MA.AA3X.01A.22R.A42S.07,0.009500286,0.252382728,0.250170806,0,0,0.00528228,0,0.220514149,0.146172189,0,0,0.113066888,0.002898067,1.26E-05,5.268,-0.616,-0.689,-0.246,-0.819,0.13,-1.068,0.938,-1.296,2.053,0.325,-0.891,0.451,1.177,0.713,-0.1,0.632,-1.013,0.605,0.161,1.184,2.559,-0.484
TCGA.MA.AA3Y.01A.11R.A38B.07,0,0.005288535,0.192538757,0,0,0,0.132733455,0,0,0,0.546531725,0.116865295,0.004023596,0.002018637,5.901,1.37,-0.59,3.21,1.235,2.838,2.867,2.563,-0.943,3.192,0.663,2.978,3.847,0.075,0.709,-0.242,-0.291,-0.866,-1.636,1.147,-0.962,-0.523,0.092
TCGA.MA.AA3Z.01A.11R.A38B.07,0.014813103,0.055571535,0.22922203,0,0,0.000376004,0,0.250062862,0.105277199,0,0.108093236,0.22692929,0.00965474,0,5.623,0.057,-0.048,1.328,1.291,2.305,1.994,0.101,-0.176,1.808,0.295,-1.053,3.354,-1.873,-1.024,-0.033,-0.485,0.979,0.077,-0.518,-0.468,-0.686,0.564
TCGA.MA.AA41.01A.11R.A38B.07,0.055878458,0.114873576,0.314161271,0,0,0.011376404,0,0.306219454,0.141462489,0,0,0.056028348,0,0,6.401,0.265,-1.899,0.694,0.927,1.523,2.314,-0.718,0.122,0.329,-1.31,0.981,2.639,-2.003,-1.126,-0.463,-1.427,-0.092,-1.305,-1.253,-0.03,2.142,-1.019
TCGA.MA.AA42.01A.12R.A38B.07,0,0.372929772,0.232942995,0,0,0.044052066,0.012363977,0.07030743,0.037606761,0,0.053001483,0.171309433,0.001596876,0.003889207,5.971,0.768,-1.522,4.343,2.826,4.291,3.053,2.514,0.444,3.893,1.144,-1.306,4.963,-1.203,-0.652,1.257,1.213,0.417,-0.332,-0.891,1.056,2.674,1.774
TCGA.MA.AA43.01A.11R.A42T.07,0,0.057441912,0.304242034,0,0,0.003917836,0,0.317201878,0.136359779,0.006184898,0,0.170307221,3.79E-05,0.00430652,5.524,-0.617,-1.056,0.803,-0.188,1.288,0.949,0.159,-0.854,2.288,1.385,2.204,2.393,-1.625,-0.442,0.033,1.384,-0.305,-1.482,1.192,-2.294,1.489,0.013
TCGA.MU.A51Y.01A.11R.A26T.07,0.000694941,0.253110775,0.32025154,0,0,0.012753482,0.020305266,0.05857674,0.038779688,0,0.126330534,0.165490789,0.002826352,0.000879892,5.037,0.33,-0.352,3.183,2.955,2.884,2.205,1.265,-1.098,0.643,-0.195,-1.44,2.917,-0.703,-0.813,0.997,-0.573,-0.904,0.4,0.119,0.667,0.465,-0.883
TCGA.MU.A8JM.01A.11R.A36F.07,0,0.135274547,0.411261302,0,0,0,0,0.128930859,0.077022664,0,0.120749058,0.118067238,0.005269022,0.003425311,5.9,0.142,-0.729,0.123,-0.029,-0.779,-0.445,-0.144,0.359,0.381,0.761,2.255,-1.2,-1.268,-0.486,0.495,0.885,0.622,-0.805,-0.302,-1.308,0.951,0.343
TCGA.MY.A5BD.01A.11R.A26T.07,0.0157893,0,0.392934334,0,0,0.00929335,0,0.33418677,0,0,0.013734862,0.231387608,0.002673777,0,4.544,-0.381,-2.759,-1.337,0.414,-0.058,0.248,-1.414,-0.139,-0.882,0.785,1.195,-0.867,-2.777,-1.732,0.174,1.408,-1.026,-2.319,-1.457,-1.95,0.314,0.236
TCGA.MY.A5BF.01A.11R.A26T.07,0.039006162,0.13252467,0.300888648,0,0,0.017799979,0,0.196304258,0,0,0.227513058,0.085122615,0.00084061,0,5.185,0.865,1.997,1.848,0.603,2.487,2.351,0.552,-1.287,1.253,-0.936,-0.612,3.376,-1.207,-1.013,-0.618,0.185,-1.026,-1.671,-1.031,-1.666,-0.076,0.414
TCGA.MY.A913.01A.11R.A37O.07,0,0,0.434525898,0,0,0,0,0.231711318,0.028960134,0.078009579,0,0.220273087,0.004242825,0.002277158,5.341,0.743,-1.097,1.805,0.956,2.17,2.269,1.649,-0.144,2.509,1.012,1.4,3.246,0.598,-1.556,-0.202,-0.812,-0.35,-0.946,0.964,-1.692,0.715,-0.945
TCGA.Q1.A6DW.01A.11R.A32P.07,0.066714827,0.274703092,0.193237748,0,0,0,0,0.252171522,0.094259956,0,0.008075526,0.103815505,0.007021825,0,5.635,0.051,-2.101,0.517,-0.377,-0.133,0.731,1.046,-0.002,-0.638,1.039,-1.246,-1.177,-1.538,-1.185,-0.14,0.892,-0.962,-2.212,-0.978,-1.166,2.046,0.695
TCGA.Q1.A73O.01A.11R.A32P.07,0.01844478,0,0.437971021,0,0,0,0,0.246453893,0.038994792,0,0.175961376,0.076049309,0.006124829,0,5.775,0.213,-1.111,0.916,0.443,3.227,2.587,0.462,-0.469,2.499,0.665,2.206,3.485,-0.848,-0.298,-0.823,-1.239,-1.167,-2.004,0.349,-1.386,0.625,0.076
TCGA.Q1.A73Q.01A.21R.A32P.07,0,0.199967728,0.543897144,0,0,0,0,0.095130876,0.039319853,0.006565846,0,0.094595938,0.017891526,0.00263109,5.214,0.42,-0.464,-0.513,0.522,-1.375,-0.086,-0.385,1.356,-0.341,-0.143,-0.297,-1.134,-1.329,-1.017,-0.858,0.584,-0.001,-1.224,-0.693,-0.627,0.929,-1.978
TCGA.R2.A69V.01A.11R.A32P.07,0.074059431,0.081677627,0.364596118,0,0,0.01505081,0,0.195446542,0.078986399,0,0.080367188,0.093611648,0.016204237,0,5.41,0.552,-0.642,4.634,2.554,3.397,3.227,3.327,0.382,3.605,1.326,-0.032,4.764,0.157,0.063,0.129,1.095,-0.466,0.677,-0.239,1.815,2.991,0.837
TCGA.RA.A741.01A.11R.A33Z.07,0.273487184,0.068550509,0.157867631,0,0.049173482,0.013268551,0,0.215245107,0.077184716,0,0,0.145222819,0,0,5.295,0.161,2.469,2.051,1.497,1.262,1.226,1.169,-0.127,2.586,1.523,-0.461,2.656,0.077,0.375,0.852,-0.563,0.39,0.378,-0.124,1.291,-0.188,-0.705
TCGA.UC.A7PD.01A.11R.A352.07,0,0,0.350150756,0,0,0,0,0.34022801,0.193953064,0,0.05797671,0.036661938,0.020512257,0.000517265,5.801,0.416,-0.844,-0.904,0.9,1.253,-0.223,-1.09,-0.237,0.143,0.186,1.161,0.141,-0.698,0.535,-0.882,0.84,-0.712,-1.243,-0.518,-0.565,1.364,1.286
TCGA.UC.A7PF.01A.11R.A352.07,0.09442346,0.186400297,0.303255285,0,0,0.01788754,0,0.08652859,0.030273882,0,0.07077799,0.207140639,0.000617334,0.002694983,5.398,0.194,-2.313,2.562,2.093,2.677,2.356,1.165,1.074,1.505,-0.062,-2.282,3.362,-1.65,-1.16,-0.304,-0.095,-0.363,-1.557,-0.974,0.625,0.927,0.737
TCGA.UC.A7PG.01A.11R.A42S.07,0.190827665,0.091694682,0.187478948,0,0.023457036,0,0,0.132819361,0.268808029,0,0,0.104914279,0,0,5.444,-0.76,0.202,-0.832,-0.465,0.124,-0.116,-0.922,0.906,0.983,-0.665,-0.598,0.571,0.035,0.745,-1.148,0.653,-0.288,-1.43,0.266,-0.058,2.005,-1.619
TCGA.VS.A8EB.01A.11R.A36F.07,0.115018505,0.204690833,0.198254865,0,0,0,0,0.358884813,0.037657617,0,0,0.077691184,0.007802183,0,5.833,0.215,-1.771,-0.886,1.289,1.147,0.707,-0.099,0.167,1.443,0.823,0.836,1.105,-0.633,-1.877,-0.892,0.849,-1.646,-1.916,-0.632,-1.288,1.622,0.694
TCGA.VS.A8EG.01A.11R.A36F.07,0,0,0.457013143,0,0,0.01611509,0,0.157097481,0.155264415,0,0,0.208234554,0.003856692,0.002418625,5.321,0.452,-1.63,0.303,0.6,-0.12,-0.177,0.598,-0.013,1.155,-1.455,0.078,0.787,-2.263,-1.016,-0.583,-0.057,-0.147,-0.655,-0.254,-1.271,1.073,0.986
TCGA.VS.A8EH.01A.11R.A36F.07,0.021741366,0.13195743,0.232726444,0,0,0,0,0.20458621,0.184164265,0,0,0.224824285,0,0,5.098,-0.733,1.521,-2.012,0.965,-1.244,-1.411,0.395,-0.216,-1.166,-1.33,-1.525,-0.92,0.745,-0.991,-0.754,-0.288,-0.669,-1.918,-1.052,0.098,2.466,0.731
TCGA.VS.A8EI.01A.11R.A37O.07,0,0,0.492750251,0,0,0.002409478,0,0.183897382,0.134327616,0,0,0.129816509,0.005240578,0.051558187,5.676,0.489,-0.094,2.568,1.743,2.01,2.048,1.303,0.473,1.942,0.384,0.106,2.952,-0.241,-0.017,-1.215,-0.429,-0.883,-1.051,-1.3,-0.699,0.965,-1.064
TCGA.VS.A8EK.01A.12R.A37O.07,0,0.002544592,0.316116308,0,0,0.004109763,0,0.431697176,0.129459712,0,0,0.111111362,0.002086124,0.002874962,5.641,-0.608,-0.907,0.483,-0.694,-0.289,-1.405,1.055,-0.27,-0.263,0.556,-0.579,-1.266,-0.392,-0.045,-0.833,0.491,0.189,-0.163,-0.798,-0.124,2.005,1.726
TCGA.VS.A8EL.01A.11R.A37O.07,0.024963785,0.028671519,0.290500157,0,0,1.44E-05,0,0.317603968,0.173918858,0,0.037489478,0.109782099,0.017055694,0,6,0.149,-0.919,3.041,0.885,2.033,2.341,2.277,0.203,3.06,-0.787,0.937,3.529,-0.856,0.066,0.8,0.934,0.138,-1.314,-1.156,0.453,0.519,1.791
TCGA.VS.A8Q8.01A.11R.A37O.07,0,0.226542794,0.148953767,0,0,0.003674069,0.043170458,0.022014205,0,0.155479813,0.281953766,0.11324771,0.001942791,0.003020627,5.848,0.185,-0.54,2.95,1.318,2.661,2.178,1.894,-0.444,2.941,0.922,1.846,3.463,-1.517,-0.946,-0.916,0.631,0.66,-0.818,0.507,-0.492,-0.035,-0.776
TCGA.VS.A8Q9.01A.12R.A37O.07,0,0,0.610551481,0,0,0,0.096840348,0,0.153547961,0,0.01653581,0.101368749,0.02115565,0,5.444,0.004,-0.064,-1.472,1.091,0.435,0.752,1.221,-1.042,-0.633,-0.649,-1.41,0.311,-0.556,0.592,-1.095,-1.33,-1.528,-2.303,-1.557,-1.022,2.578,0.683
TCGA.VS.A8QA.01A.11R.A37O.07,0.003294009,0.241911224,0.267113875,0,0,0.035895684,0,0.116479276,0,0,0.253995581,0.08125935,0,5.10E-05,5.473,-0.639,-4.049,-0.376,0.739,0.457,-0.199,-1.255,-0.133,-0.278,-0.655,1.128,1.086,-3.143,-2.729,-0.872,-1.353,-1.481,-1.31,-1.726,-1.673,-0.478,1.713
TCGA.VS.A8QC.01A.11R.A37O.07,0.079361524,0.128932766,0.271627005,0,0,0,0,0.180045444,0.269900281,0,0,0.060479733,0.009210572,0.000442674,5.946,-0.092,-0.317,-1.288,-0.961,-1.153,-0.982,-0.956,0.271,0.099,0.86,0.024,-0.059,-0.727,-0.598,0.625,0.626,-1.212,-1.916,-0.931,-0.552,1.699,0.234
TCGA.VS.A8QF.01A.21R.A37O.07,0.07570547,0.170463747,0.254373273,0,0,0.009111368,0,0.225020048,0.144618818,0,0,0.117853707,0,0.00285357,5.255,-0.101,-0.309,1.456,0.73,0.452,1.081,0.99,-0.112,2.5,0.249,-0.879,1.774,-1.236,-0.972,0.968,-1.192,0.966,-0.047,-0.491,0.437,2.268,1.43
TCGA.VS.A8QM.01A.11R.A37O.07,0.078330195,0.294572652,0.163165507,0,0.037458899,0.028272428,0,0.235328689,0.042777353,0,0.003438971,0.116655306,0,0,5.533,0.021,1.179,3.686,2.543,2.669,1.931,2.081,-1.386,1.772,0.932,-0.169,2.817,-0.205,0.392,1.204,0.102,1.087,0.552,0.545,0.857,0.804,-0.698
TCGA.VS.A94W.01A.12R.A37O.07,0.017459742,0.058393844,0.134359817,0,0.037235831,0,0,0.438880106,0.070500538,0,0.042714836,0.199664872,0,0.000790415,5.44,0.59,-1.491,3.607,2.173,3.398,2.824,2.481,-0.173,2.62,-0.553,-0.872,3.904,-1.185,-0.469,0.273,-0.253,-0.644,-1.261,-0.047,-0.569,-0.264,-0.134
TCGA.VS.A94X.01A.11R.A38B.07,0.085975297,0.165267214,0.251009795,0,0,0.014090937,0,0.283034326,0.051114417,0,0.011740434,0.137767581,0,0,5.327,0.108,-1.692,-1.435,-0.595,1.454,1.017,-1.066,-0.796,1.296,-1.079,1.615,1.087,-1.478,-0.514,1.092,1.234,-1.343,-2.498,-0.273,-0.397,0.89,0.222
TCGA.VS.A94Y.01A.11R.A38B.07,0.007942881,0.061813575,0.431348482,0,0,0,0,0.181105573,0.103037436,0,0.114075055,0.093197139,0.007479859,0,5.518,1.208,-1.077,-1.261,1.011,-0.149,-0.864,-0.223,0.108,1.735,0.968,3.238,0.325,0.177,-0.06,-0.39,-1.339,-0.521,-1.795,0.85,-1.174,1.579,2.542
TCGA.VS.A94Z.01A.11R.A38B.07,0.025221531,0.032071105,0.403343513,0,0,0.020400605,0,0.118300925,0,0.052108689,0.187950975,0.146848898,0.011753431,0.002000327,6.203,-0.208,-1.38,2.575,0.15,2.12,2.278,2.445,-0.025,3.243,1.161,-1.088,3.365,-1.649,-1.546,-1.016,0.117,-1.609,-1.992,-0.711,-0.325,0.776,1.81
TCGA.VS.A950.01A.11R.A42T.07,0,0.035640341,0.375022792,0,0,0,0,0.121026132,0.161113291,0,0.123271164,0.148715167,0.010806264,0.024404849,5.576,-0.104,0.936,1.283,-1.364,-0.231,-0.663,-1.211,-0.361,0.277,0.916,1.893,-0.294,-0.327,-0.549,0.156,0.84,-0.312,-0.646,0.345,-1.063,2.212,1.234
TCGA.VS.A953.01A.11R.A38B.07,0.087590105,0,0.30671434,0,0,0,0,0.351887714,0,0,0.216326691,0.036345221,0.001135929,0,5.338,0.545,-1.247,0.02,-1.109,1.289,0.665,0.588,-0.206,2.293,-1.338,0.667,2.266,-2.238,-0.928,-1.219,-1.488,-1.274,-2.231,-0.679,-2.079,1.736,-0.004
TCGA.VS.A954.01A.11R.A38B.07,0.140387797,0,0.326644068,0,0,0.000685593,0,0.438482385,0.017878515,0,0,0.075921642,0,0,5.421,-0.879,-0.257,-0.332,-0.948,-0.725,0.154,-0.327,-1.032,0.855,0.939,-2.754,0.719,0.365,0.852,0.616,-0.89,-0.867,-1.593,-1.89,-0.701,2.954,-0.691
TCGA.VS.A957.01A.11R.A42T.07,0.087254131,0.173633908,0.211690012,0,0,0,0,0.193176696,0.126241598,0,0,0.204633489,0.003370167,0,4.614,0.201,-3.828,0.476,-0.377,1.089,-0.139,1.196,0.396,-0.501,-1.312,-1.154,-1.11,-2.249,-0.749,-1.298,0.309,0.86,-0.419,0.734,-0.799,-1.067,0.97
TCGA.VS.A958.01A.11R.A42T.07,0.039174813,0.231214642,0.21665919,0,0,0.005922706,0,0.289448115,0.018005183,0,0.05803395,0.129458361,0.007604944,0.004478096,5.183,0.256,-1.465,2.585,1.134,2.822,2.852,1.469,0.2,3.418,0.732,1.181,4.138,-0.467,-0.759,-1.318,0.256,0.516,-0.427,0.236,-0.028,0.341,1.056
TCGA.VS.A959.01A.11R.A42T.07,0.143145107,0.148581255,0.282526465,0,0,0.017220977,0,0.200075777,0.084458183,0,0,0.119841505,0.004150732,0,4.834,-1.413,-1.744,0.501,1.101,0.489,0.009,-0.303,-0.536,0.175,-0.473,2.177,1.21,-1.865,-1.051,-0.944,-1.468,-0.961,-1.191,-1.393,-0.264,-0.653,0.501
TCGA.VS.A9U5.01A.11R.A42T.07,0,0.424840764,0.058063006,0,0,0.012747991,0,0.334380945,0.005855244,0,0.015914249,0.144436764,0,0.003761036,5.164,-0.403,-1.653,2.557,2.33,2.097,0.407,1.107,-0.242,1.093,0.305,-0.592,2.108,0.075,0.544,0.346,-0.739,0.016,-0.497,-1.283,-0.922,0.663,-1.432
TCGA.VS.A9U6.01A.11R.A42T.07,0,0.154546561,0.273527954,0,0,0.002104191,0,0.139541516,0,0,0.16129813,0.26715454,0,0.001827109,5.242,-0.569,-1.095,0.377,-0.114,1.149,-0.431,0.724,0.301,2.194,0.773,0.558,1.052,-0.451,-0.505,0.366,1.031,-0.346,-1.246,-0.194,-0.016,0.818,1.811
TCGA.VS.A9U7.01A.11R.A42T.07,0.062511221,0.089396616,0.357468885,0,0,0.027541603,0,0.181593777,0,0,0.138318395,0.143169502,0,0,5.66,0.231,-0.5,2.872,1.818,2.656,2.282,1.947,0.655,3.033,0.802,-0.636,3.9,-0.78,-0.917,-1.207,-0.31,0.015,-1.124,-0.045,-0.062,0.517,-0.692
